	Unnamed: 0	Sno	Date	Time	State/UnionTerritory	Recovered	Deaths	Confirmed	Confirmed Daily	Deaths Daily	Recovered Daily	Month-Year
35	35	36	"Tuesday, 3 March 2020"	6:00:00 PM	Telangana	0	0	1	0	0	0	Mar-20
38	38	39	"Tuesday, 3 March 2020"	6:00:00 PM	Delhi	0	0	1	0	0	0	Mar-20
42	42	43	"Wednesday, 4 March 2020"	6:00:00 PM	Delhi	0	0	1	0	0	0	Mar-20
43	43	44	"Wednesday, 4 March 2020"	6:00:00 PM	Telangana	0	0	1	0	0	0	Mar-20
44	44	45	"Wednesday, 4 March 2020"	6:00:00 PM	Rajasthan	0	0	1	0	0	0	Mar-20
48	48	49	"Thursday, 5 March 2020"	6:00:00 PM	Rajasthan	0	0	1	0	0	0	Mar-20
49	49	50	"Thursday, 5 March 2020"	6:00:00 PM	Telangana	0	0	1	0	0	0	Mar-20
54	54	55	"Friday, 6 March 2020"	6:00:00 PM	Rajasthan	0	0	1	0	0	0	Mar-20
56	56	57	"Friday, 6 March 2020"	6:00:00 PM	Telangana	0	0	1	0	0	0	Mar-20
60	60	61	"Saturday, 7 March 2020"	6:00:00 PM	Telangana	0	0	1	0	0	0	Mar-20
64	64	65	"Saturday, 7 March 2020"	6:00:00 PM	Rajasthan	0	0	1	0	0	0	Mar-20
66	66	67	"Sunday, 8 March 2020"	6:00:00 PM	Telangana	0	0	1	0	0	0	Mar-20
67	67	68	"Sunday, 8 March 2020"	6:00:00 PM	Tamil Nadu	0	0	1	0	0	0	Mar-20
68	68	69	"Sunday, 8 March 2020"	6:00:00 PM	Rajasthan	0	0	1	0	0	0	Mar-20
78	78	79	"Monday, 9 March 2020"	6:00:00 PM	Rajasthan	0	0	1	0	0	0	Mar-20
79	79	80	"Monday, 9 March 2020"	6:00:00 PM	Tamil Nadu	0	0	1	0	0	0	Mar-20
80	80	81	"Monday, 9 March 2020"	6:00:00 PM	Telangana	0	0	1	0	0	0	Mar-20
92	92	93	"Tuesday, 10 March 2020"	6:00:00 PM	Punjab	0	0	1	0	0	0	Mar-20
93	93	94	"Tuesday, 10 March 2020"	6:00:00 PM	Rajasthan	0	0	1	0	0	0	Mar-20
94	94	95	"Tuesday, 10 March 2020"	6:00:00 PM	Tamil Nadu	0	0	1	0	0	0	Mar-20
95	95	96	"Tuesday, 10 March 2020"	6:00:00 PM	Telangana	0	0	1	0	0	0	Mar-20
96	96	97	"Tuesday, 10 March 2020"	6:00:00 PM	Jammu and Kashmir	0	0	1	0	0	0	Mar-20
101	101	102	"Wednesday, 11 March 2020"	6:00:00 PM	Rajasthan	0	0	1	0	0	0	Mar-20
102	102	103	"Wednesday, 11 March 2020"	6:00:00 PM	Telangana	0	0	1	0	0	0	Mar-20
105	105	106	"Wednesday, 11 March 2020"	6:00:00 PM	Tamil Nadu	0	0	1	0	0	0	Mar-20
106	106	107	"Wednesday, 11 March 2020"	6:00:00 PM	Jammu and Kashmir	0	0	1	0	0	0	Mar-20
107	107	108	"Wednesday, 11 March 2020"	6:00:00 PM	Punjab	0	0	1	0	0	0	Mar-20
113	113	114	"Thursday, 12 March 2020"	6:00:00 PM	Telangana	0	0	1	0	0	0	Mar-20
116	116	117	"Thursday, 12 March 2020"	6:00:00 PM	Tamil Nadu	0	0	1	0	0	0	Mar-20
117	117	118	"Thursday, 12 March 2020"	6:00:00 PM	Jammu and Kashmir	0	0	1	0	0	0	Mar-20
118	118	119	"Thursday, 12 March 2020"	6:00:00 PM	Punjab	0	0	1	0	0	0	Mar-20
126	126	127	"Friday, 13 March 2020"	6:00:00 PM	Telangana	0	0	1	0	0	0	Mar-20
129	129	130	"Friday, 13 March 2020"	6:00:00 PM	Tamil Nadu	0	0	1	0	0	0	Mar-20
130	130	131	"Friday, 13 March 2020"	6:00:00 PM	Jammu and Kashmir	0	0	1	0	0	0	Mar-20
131	131	132	"Friday, 13 March 2020"	6:00:00 PM	Punjab	0	0	1	0	0	0	Mar-20
134	134	135	"Friday, 13 March 2020"	6:00:00 PM	Andhra Pradesh	0	0	1	0	0	0	Mar-20
139	139	140	"Saturday, 14 March 2020"	6:00:00 PM	Telangana	0	0	1	0	0	0	Mar-20
142	142	143	"Saturday, 14 March 2020"	6:00:00 PM	Tamil Nadu	0	0	1	0	0	0	Mar-20
144	144	145	"Saturday, 14 March 2020"	6:00:00 PM	Punjab	0	0	1	0	0	0	Mar-20
147	147	148	"Saturday, 14 March 2020"	6:00:00 PM	Andhra Pradesh	0	0	1	0	0	0	Mar-20
148	148	149	"Sunday, 15 March 2020"	6:00:00 PM	Andhra Pradesh	0	0	1	0	0	0	Mar-20
154	154	155	"Sunday, 15 March 2020"	6:00:00 PM	Punjab	0	0	1	0	0	0	Mar-20
156	156	157	"Sunday, 15 March 2020"	6:00:00 PM	Tamil Nadu	0	0	1	0	0	0	Mar-20
162	162	163	"Monday, 16 March 2020"	6:00:00 PM	Andhra Pradesh	0	0	1	0	0	0	Mar-20
169	169	170	"Monday, 16 March 2020"	6:00:00 PM	Punjab	0	0	1	0	0	0	Mar-20
171	171	172	"Monday, 16 March 2020"	6:00:00 PM	Tamil Nadu	0	0	1	0	0	0	Mar-20
176	176	177	"Monday, 16 March 2020"	6:00:00 PM	Uttarakhand	0	0	1	0	0	0	Mar-20
177	177	178	"Tuesday, 17 March 2020"	6:00:00 PM	Andhra Pradesh	0	0	1	0	0	0	Mar-20
183	183	184	"Tuesday, 17 March 2020"	6:00:00 PM	Odisha	0	0	1	0	0	0	Mar-20
184	184	185	"Tuesday, 17 March 2020"	6:00:00 PM	Punjab	0	0	1	0	0	0	Mar-20
186	186	187	"Tuesday, 17 March 2020"	6:00:00 PM	Tamil Nadu	0	0	1	0	0	0	Mar-20
191	191	192	"Tuesday, 17 March 2020"	6:00:00 PM	Uttarakhand	0	0	1	0	0	0	Mar-20
192	192	193	"Wednesday, 18 March 2020"	6:00:00 PM	Andhra Pradesh	0	0	1	0	0	0	Mar-20
198	198	199	"Wednesday, 18 March 2020"	6:00:00 PM	Odisha	0	0	1	0	0	0	Mar-20
200	200	201	"Wednesday, 18 March 2020"	6:00:00 PM	Punjab	0	0	1	0	0	0	Mar-20
202	202	203	"Wednesday, 18 March 2020"	6:00:00 PM	Tamil Nadu	0	0	1	0	0	0	Mar-20
207	207	208	"Wednesday, 18 March 2020"	6:00:00 PM	Uttarakhand	0	0	1	0	0	0	Mar-20
216	216	217	"Thursday, 19 March 2020"	6:00:00 PM	Odisha	0	0	1	0	0	0	Mar-20
217	217	218	"Thursday, 19 March 2020"	6:00:00 PM	Puducherry	0	0	1	0	0	0	Mar-20
226	226	227	"Thursday, 19 March 2020"	6:00:00 PM	Uttarakhand	0	0	1	0	0	0	Mar-20
227	227	228	"Thursday, 19 March 2020"	6:00:00 PM	West Bengal	0	0	1	0	0	0	Mar-20
229	229	230	"Friday, 20 March 2020"	6:00:00 PM	Chhattisgarh	0	0	1	0	0	0	Mar-20
237	237	238	"Friday, 20 March 2020"	6:00:00 PM	Puducherry	0	0	1	0	0	0	Mar-20
242	242	243	"Friday, 20 March 2020"	6:00:00 PM	Chandigarh	0	0	1	0	0	0	Mar-20
249	249	250	"Saturday, 21 March 2020"	6:00:00 PM	Chhattisgarh	0	0	1	0	0	0	Mar-20
259	259	260	"Saturday, 21 March 2020"	6:00:00 PM	Puducherry	0	0	1	0	0	0	Mar-20
264	264	265	"Saturday, 21 March 2020"	6:00:00 PM	Chandigarh	0	0	1	0	0	0	Mar-20
272	272	273	"Sunday, 22 March 2020"	6:00:00 PM	Chhattisgarh	0	0	1	0	0	0	Mar-20
282	282	283	"Sunday, 22 March 2020"	6:00:00 PM	Puducherry	0	0	1	0	0	0	Mar-20
295	295	296	"Monday, 23 March 2020"	6:00:00 PM	Chhattisgarh	0	0	1	0	0	0	Mar-20
305	305	306	"Monday, 23 March 2020"	6:00:00 PM	Puducherry	0	0	1	0	0	0	Mar-20
318	318	319	"Tuesday, 24 March 2020"	6:00:00 PM	Chhattisgarh	0	0	1	0	0	0	Mar-20
329	329	330	"Tuesday, 24 March 2020"	6:00:00 PM	Puducherry	0	0	1	0	0	0	Mar-20
342	342	343	"Wednesday, 25 March 2020"	6:00:00 PM	Chhattisgarh	0	0	1	0	0	0	Mar-20
351	351	352	"Wednesday, 25 March 2020"	6:00:00 PM	Manipur	0	0	1	0	0	0	Mar-20
354	354	355	"Wednesday, 25 March 2020"	6:00:00 PM	Puducherry	0	0	1	0	0	0	Mar-20
381	381	382	"Thursday, 26 March 2020"	6:00:00 PM	Manipur	0	0	1	0	0	0	Mar-20
382	382	383	"Thursday, 26 March 2020"	6:00:00 PM	Mizoram	0	0	1	0	0	0	Mar-20
384	384	385	"Thursday, 26 March 2020"	6:00:00 PM	Puducherry	0	0	1	0	0	0	Mar-20
435	435	436	"Saturday, 28 March 2020"	6:00:00 PM	Manipur	0	0	1	0	0	0	Mar-20
436	436	437	"Saturday, 28 March 2020"	6:00:00 PM	Mizoram	0	0	1	0	0	0	Mar-20
438	438	439	"Saturday, 28 March 2020"	6:00:00 PM	Puducherry	0	0	1	0	0	0	Mar-20
